Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,13.917262,16.129085,186.050000,3244.306357
2,0.000000,0.000258,88.335093,98.109803,1000.025000,11890.088937
3,1.000000,1.000000,13.756011,14.808286,175.225000,2712.042247
4,1.000000,1.000000,26.465050,32.237834,362.400000,10442.322987
5,1.000000,1.000000,14.052130,15.389642,185.825000,2904.474216
6,1.000000,1.000000,14.257266,16.950557,188.825000,3076.378335
7,1.000000,1.000000,13.680375,18.530964,196.725000,3968.440457
8,1.000000,1.000000,21.645233,28.838323,305.750000,9363.699338
9,1.000000,1.000000,13.925483,18.297419,190.525000,3295.159672
10,1.000000,1.000000,13.873417,15.593799,177.975000,3164.977095
11,1.000000,1.000000,13.919155,17.109418,189.800000,3209.894535
12,1.000000,1.000000,13.615882,18.063919,188.450000,3135.804882
13,1.000000,1.000000,13.066864,16.047037,181.225000,3288.057566
14,1.000000,1.000000,14.482186,16.809070,203.325000,3964.174663
15,1.000000,1.000000,13.733638,14.988996,175.400000,2292.360943
16,1.000000,1.000000,14.093617,21.943409,196.025000,4167.877172
17,1.000000,1.000000,21.108007,26.295712,271.725000,6733.476288
18,1.000000,1.000000,13.557069,14.951196,174.100000,2212.515982
19,1.000000,1.000000,14.014536,19.490212,199.300000,3827.969751
20,1.000000,1.000000,14.120104,17.005461,197.625000,3838.945507
21,1.000000,1.000000,12.859287,16.783444,177.325000,3383.260792
22,1.000000,1.000000,13.991678,15.271027,182.200000,2214.472741
23,1.000000,1.000000,19.337869,26.317742,298.975000,8810.467410
24,1.000000,1.000000,14.009467,16.019554,177.550000,3092.855120
25,1.000000,1.000000,13.801969,15.903135,181.075000,2802.911723
26,1.000000,1.000000,13.704027,15.044318,175.100000,2705.075147
27,1.000000,1.000000,14.485695,18.890116,194.225000,3445.382617
28,1.000000,1.000000,13.454560,15.712761,175.525000,2227.411998
29,1.000000,1.000000,13.835877,15.258049,180.150000,2416.921522
30,1.000000,1.000000,13.720602,14.604505,174.500000,2829.341252
31,0.000000,0.851048,38.758254,64.462122,1000.025000,45727.242301
32,1.000000,1.000000,14.075711,19.246740,193.075000,3330.487462
33,1.000000,1.000000,15.090493,24.396077,225.525000,5473.430471
34,1.000000,1.000000,13.767252,14.432329,176.125000,2906.064700
35,1.000000,1.000000,13.725595,14.630883,174.700000,2840.718486
36,1.000000,1.000000,16.533839,18.793752,247.025000,6760.276549
37,1.000000,1.000000,13.777702,14.552088,176.500000,2584.834712
38,1.000000,1.000000,15.918306,24.820846,152.725000,4850.123340
39,1.000000,1.000000,13.785234,15.620064,175.300000,2681.592605
40,1.000000,1.000000,13.666704,14.703783,176.900000,2200.889700
41,1.000000,1.000000,19.314799,27.736490,256.375000,6603.602215
42,1.000000,1.000000,23.257685,28.288231,337.000000,10236.728230
43,1.000000,1.000000,13.723058,14.951566,175.100000,2703.734737
44,1.000000,1.000000,13.093632,16.207805,183.300000,3165.819775
45,1.000000,1.000000,14.047106,18.580287,202.825000,4347.812461
46,1.000000,1.000000,12.778060,19.470652,174.950000,3651.738276
47,1.000000,1.000000,13.729729,15.420050,175.050000,2327.660067
48,1.000000,1.000000,13.173951,17.637435,194.050000,4488.780713
49,1.000000,1.000000,13.782744,14.499341,175.950000,2181.918895
50,1.000000,1.000000,13.721275,14.863051,175.375000,2431.585817

